Task Name,ID,Category,Subcategory,Description,Horizon (1-3),Value (1-3),Change Since Last
Untitled,A1,Configuration,Profit Model,How you make money,2,3,1
Untitled,A2,Configuration,Network,How you connect with others to create value,1,2,0
Untitled,A3,Configuration,Structure,How you use your talent and assets,3,2,0
Untitled,A4,Configuration,Process,How you use signature or superior methods to do your work,3,3,1
Untitled,B1,Offerings,Product Performance,How you develop differentiated features and functionality,2,3,0
Untitled,B2,Offerings,Product System,How you create related products and services,3,1,1
Untitled,C1,Experience,Service,How you support and amplify the value of your offerings,1,2,0
Untitled,C2,Experience,Channel,How you deliver your offerings to members and users,1,3,0
Untitled,C3,Experience,Brand,How you represent your offerings and business,3,3,1
Untitled,C4,Experience,Customer Engagement,How you create compelling member interactions,2,1,1
